Grande Área (Formação),Área (Formação),Freq
Ciências Exatas e da Terra,Ciência da Computação,7093
Ciências Exatas e da Terra,Química,7065
Ciências Exatas e da Terra,Matemática,5334
Ciências Exatas e da Terra,Física,4954
Ciências Exatas e da Terra,Geociências,3838
Ciências Exatas e da Terra,Oceanografia,641
Ciências Exatas e da Terra,Probabilidade e Estatística,563
Ciências Exatas e da Terra,Astronomia,322
Ciências Exatas e da Terra,Não informado,6
Ciências Exatas e da Terra,Engenharia de Materiais e Metalúrgica,1
Engenharias,Engenharia Elétrica,6166
Engenharias,Engenharia Civil,5741
Engenharias,Engenharia Mecânica,4337
Engenharias,Engenharia de Materiais e Metalúrgica,3589
Engenharias,Engenharia Química,3204
Engenharias,Engenharia de Produção,3141
Engenharias,Engenharia Sanitária,1805
Engenharias,Não informado,1119
Engenharias,Engenharia Biomédica,922
Engenharias,Engenharia Nuclear,693
Engenharias,Engenharia Aeroespacial,549
Engenharias,Engenharia de Transportes,465
Engenharias,Engenharia de Energia,284
Engenharias,Engenharia Naval e Oceânica,188
Engenharias,Engenharia de Minas,153
Engenharias,Ciência da Computação,59
Engenharias,Educação,29
Engenharias,Matemática,23
Engenharias,Física,20
Engenharias,Administração,17
Engenharias,Química,17
Engenharias,Probabilidade e Estatística,12
Engenharias,Direito,11
Engenharias,Saúde Coletiva,8
Engenharias,Comunicação,7
Engenharias,Medicina,7
Engenharias,Biotecnologia,4
Engenharias,Ciência da Informação,4
Engenharias,Agronomia,3
Engenharias,Arquitetura e Urbanismo,3
Engenharias,Ciências Ambientais,3
Engenharias,Ecologia,3
Engenharias,Enfermagem,3
Engenharias,Fisioterapia e Terapia Ocupacional,3
Engenharias,Geociências,3
Engenharias,Microeletrônica,3
Engenharias,Multidisciplinar,3
Engenharias,Recursos Florestais e Engenharia Florestal,3
Engenharias,Artes,2
Engenharias,Economia,2
Engenharias,Engenharia Agrícola,2
Engenharias,"Robótica, Mecatrônica e Automação",2
Engenharias,Astronomia,1
Engenharias,Biofísica,1
Engenharias,Biologia Geral,1
Engenharias,Bioquímica,1
Engenharias,Bioética,1
Engenharias,Botânica,1
Engenharias,Ciência Política,1
Engenharias,Ciência e Tecnologia de Alimentos,1
Engenharias,Demografia,1
Engenharias,Desenho Industrial,1
Engenharias,Geografia,1
Engenharias,Medicina Veterinária,1
Engenharias,Microbiologia,1
Engenharias,Psicologia,1
Engenharias,Sociologia,1
Engenharias,Turismo,1
Engenharias,Zoologia,1
Engenharias,Zootecnia,1
