Area_Atuacao,Freq
Não informado,73508
Educação,32113
Direito,24995
Administração,15843
Letras,15119
Medicina,11664
Psicologia,11591
Enfermagem,11186
História,9646
Química,9064
Ciência da Computação,8997
Artes,8980
Matemática,7783
Agronomia,7610
Odontologia,7458
Educação Física,6188
Engenharia Civil,6075
Comunicação,6064
Fisioterapia e Terapia Ocupacional,5856
Física,5650
Biologia Geral,5632
Geografia,5359
Engenharia Elétrica,5246
Medicina Veterinária,4916
Farmácia,4863
Saúde Coletiva,4792
Nutrição,4673
Arquitetura e Urbanismo,4513
Lingüística,4246
Filosofia,4170
Geociências,4139
Economia,3998
Engenharia Mecânica,3630
Sociologia,3522
Ciência Política,3502
Ecologia,3369
Serviço Social,3095
Engenharia Química,2887
Bioquímica,2753
Engenharia de Produção,2631
Ciência e Tecnologia de Alimentos,2590
Zoologia,2547
Microbiologia,2543
Genética,2488
Ciências Ambientais,2484
Zootecnia,2385
Ciência da Informação,2270
Antropologia,2190
Engenharia Sanitária,2132
Recursos Florestais e Engenharia Florestal,1897
Engenharia de Materiais e Metalúrgica,1849
Biotecnologia,1835
Botânica,1820
Fonoaudiologia,1180
Teologia,1177
Fisiologia,1172
Imunologia,1121
Desenho Industrial,1071
Probabilidade e Estatística,1014
Morfologia,969
Turismo,908
Parasitologia,869
Farmacologia,867
Defesa,835
Engenharia Agrícola,769
Recursos Pesqueiros e Engenharia de Pesca,731
Planejamento Urbano e Regional,705
Oceanografia,687
"Robótica, Mecatrônica e Automação",660
Engenharia de Energia,581
Engenharia Biomédica,493
Arqueologia,443
Divulgação Científica,443
Engenharia Aeroespacial,377
Astronomia,374
Museologia,370
Engenharia de Transportes,297
Engenharia de Minas,261
Biofísica,259
Engenharia Naval e Oceânica,155
Engenharia Nuclear,143
Microeletrônica,113
Segurança Contra Incêndio,110
Demografia,107
Secretariado Executivo,96
Bioética,86
Economia Doméstica,50
Tecnologia da Informação e Comunicação,28
Tecnologia e Inovação,10
Multidisciplinar,6
Ciências Sociais,6
Meio Ambiente e Sustentabilidade,5
Relações Internacionais,4
Ciências,2
Ciências Atuarias,2
Nanotecnologia e Novos Materiais,1
Administração Rural,1
Relações Públicas,1
Biomedicina,1
Tecnologias para o Desenvolvimento Sustentável,1
Química Industrial,1
Engenharia Mecatrônica,1
Fontes Alternativas de Energia,1
