Area_Formacao,Freq
Educação,48991
Não informado,30672
Multidisciplinar,25228
Direito,20943
Medicina,18066
Administração,16051
Letras,14504
Agronomia,10786
Psicologia,10314
História,8905
Saúde Coletiva,8818
Enfermagem,7912
Odontologia,7356
Ciência da Computação,7173
Química,7097
Artes,6530
Geografia,6406
Engenharia Elétrica,6168
Engenharia Civil,5748
Medicina Veterinária,5557
Matemática,5386
Sociologia,5356
Comunicação,5019
Física,4979
Educação Física,4719
Lingüística,4688
Farmácia,4474
Ciências Ambientais,4471
Economia,4441
Engenharia Mecânica,4337
Ciência Política,4327
Filosofia,4324
Biologia Geral,4319
Ecologia,4026
Geociências,3859
Arquitetura e Urbanismo,3843
Engenharia de Materiais e Metalúrgica,3590
Ciência e Tecnologia de Alimentos,3357
Engenharia Química,3206
Engenharia de Produção,3146
Zootecnia,3104
Serviço Social,3015
Biotecnologia,2831
Nutrição,2586
Planejamento Urbano e Regional,2562
Antropologia,2541
Bioquímica,2417
Ciência da Informação,2383
Fisioterapia e Terapia Ocupacional,2293
Zoologia,2273
Genética,2264
Teologia,2134
Recursos Florestais e Engenharia Florestal,1901
Administração Hospitalar,1874
Fisiologia,1861
Engenharia Sanitária,1819
Botânica,1763
Microbiologia,1610
Engenharia Agrícola,1316
Desenho Industrial,1279
Farmacologia,1012
Engenharia Biomédica,922
Imunologia,867
Parasitologia,857
Fonoaudiologia,799
Morfologia,746
Engenharia Nuclear,693
Recursos Pesqueiros e Engenharia de Pesca,678
Oceanografia,641
Turismo,618
Probabilidade e Estatística,586
Engenharia Aeroespacial,549
Engenharia de Transportes,466
Biofísica,430
Arqueologia,423
Museologia,337
Ciências,333
Astronomia,327
Engenharia de Energia,285
Demografia,256
Defesa,208
Engenharia Naval e Oceânica,188
Divulgação Científica,159
Engenharia de Minas,153
Ciências Sociais,137
Bioética,91
"Robótica, Mecatrônica e Automação",87
Carreira Militar,44
Administração Rural,20
Biomedicina,20
Microeletrônica,19
Economia Doméstica,15
Secretariado Executivo,12
Segurança Contra Incêndio,10
Carreira Religiosa,9
Tecnologia da Informação e Comunicação,2
Relações Internacionais,1
Tecnologia e Inovação,1
Tecnologias Sociais e Educacionais,1
